iter	Passed	Remaining
0	139	139175
1	142	71060
2	145	48327
3	148	36980
4	152	30312
5	155	25823
6	158	22497
7	161	20027
8	164	18138
9	168	16678
10	171	15456
11	174	14394
12	177	13492
13	181	12769
14	184	12146
15	188	11565
16	191	11050
17	194	10590
18	197	10190
19	200	9809
20	203	9504
21	206	9174
22	208	8874
23	212	8625
24	215	8396
25	218	8175
26	220	7954
27	223	7753
28	225	7566
29	229	7433
30	232	7273
31	235	7118
32	237	6970
33	240	6838
34	244	6731
35	246	6606
36	249	6488
37	252	6382
38	254	6276
39	257	6179
40	261	6107
41	264	6025
42	266	5933
43	269	5852
44	271	5765
45	275	5707
46	278	5641
47	280	5570
48	284	5515
49	287	5456
50	290	5403
51	293	5350
52	296	5292
53	299	5250
54	302	5199
55	306	5160
56	309	5114
57	312	5070
58	315	5037
59	318	4989
60	321	4951
61	324	4911
62	327	4865
63	330	4832
64	332	4789
65	335	4750
66	338	4716
67	339	4659
68	342	4620
69	345	4589
70	347	4553
71	350	4521
72	354	4503
73	357	4478
74	360	4450
75	363	4420
76	366	4395
77	369	4368
78	372	4343
79	375	4316
80	377	4287
81	380	4262
82	384	4245
83	387	4220
84	388	4183
85	391	4162
86	393	4129
87	396	4106
88	400	4095
89	403	4080
90	406	4059
91	409	4038
92	411	4017
93	415	4005
94	418	3985
95	421	3965
96	423	3946
97	426	3923
98	430	3914
99	433	3897
100	435	3877
101	437	3849
102	440	3832
103	442	3813
104	446	3804
105	449	3793
106	452	3778
107	455	3760
108	459	3753
109	462	3738
110	464	3722
111	467	3705
112	470	3689
113	472	3674
114	476	3664
115	478	3648
116	481	3631
117	483	3616
118	486	3598
119	488	3584
120	490	3565
121	492	3545
122	493	3518
123	494	3496
124	496	3473
125	497	3453
126	499	3430
127	500	3406
128	501	3387
129	503	3371
130	505	3355
131	507	3336
132	508	3316
133	510	3299
134	512	3281
135	513	3263
136	515	3244
137	516	3224
138	517	3206
139	519	3188
140	521	3174
141	522	3157
142	524	3140
143	525	3125
144	527	3109
145	528	3093
146	530	3077
147	531	3060
148	533	3044
149	534	3028
150	536	3016
151	538	3003
152	540	2990
153	541	2975
154	543	2960
155	544	2945
156	545	2931
157	547	2917
158	548	2903
159	550	2888
160	552	2876
161	553	2863
162	555	2850
163	556	2837
164	558	2824
165	559	2810
166	561	2800
167	563	2788
168	564	2777
169	566	2764
170	567	2753
171	569	2741
172	570	2729
173	572	2717
174	573	2704
175	575	2692
176	576	2680
177	578	2670
178	579	2659
179	581	2648
180	582	2635
181	584	2626
182	586	2616
183	587	2605
184	588	2594
185	590	2583
186	591	2573
187	593	2562
188	594	2551
189	596	2541
190	597	2532
191	599	2521
192	600	2511
193	602	2502
194	603	2492
195	605	2482
196	607	2475
197	608	2466
198	610	2456
199	611	2446
200	614	2441
201	615	2433
202	617	2424
203	619	2415
204	620	2406
205	622	2398
206	623	2390
207	625	2381
208	626	2372
209	629	2367
210	631	2359
211	632	2351
212	633	2342
213	635	2333
214	637	2326
215	638	2319
216	640	2311
217	642	2303
218	643	2296
219	645	2288
220	646	2279
221	647	2270
222	649	2262
223	650	2254
224	652	2246
225	653	2239
226	655	2231
227	656	2223
228	658	2218
229	660	2211
230	662	2204
231	663	2196
232	664	2189
233	666	2182
234	668	2175
235	669	2167
236	671	2160
237	672	2153
238	674	2147
239	676	2141
240	677	2135
241	679	2128
242	680	2120
243	682	2113
244	683	2106
245	685	2100
246	686	2093
247	688	2087
248	690	2081
249	691	2074
250	692	2067
251	694	2061
252	695	2054
253	697	2047
254	698	2041
255	700	2034
256	701	2028
257	702	2021
258	705	2018
259	706	2011
260	708	2005
261	709	1999
262	711	1993
263	712	1987
264	714	1980
265	715	1974
266	717	1968
267	718	1962
268	721	1959
269	722	1954
270	724	1948
271	725	1942
272	726	1935
273	728	1930
274	729	1924
275	731	1918
276	732	1912
277	734	1908
278	736	1903
279	738	1898
280	739	1892
281	740	1886
